YEAR,MONTH,TYPE,Crime_Count
2013,3,Mischief,381
2013,4,Mischief,393
2013,5,Mischief,391
2013,6,Mischief,389
2013,7,Mischief,381
2013,8,Mischief,383
2013,9,Mischief,372
2013,10,Mischief,384
2013,11,Mischief,360
2013,12,Mischief,354
2012,1,Offence Against a Person,31
2012,2,Offence Against a Person,28
2012,3,Offence Against a Person,31
2012,4,Offence Against a Person,30
2012,5,Offence Against a Person,31
2012,6,Offence Against a Person,30
2012,7,Offence Against a Person,31
2012,8,Offence Against a Person,31
2012,9,Offence Against a Person,30
2012,10,Offence Against a Person,31
2012,11,Offence Against a Person,30
2012,12,Offence Against a Person,31
2013,1,Offence Against a Person,31
2013,2,Offence Against a Person,28
2013,3,Offence Against a Person,31
2013,4,Offence Against a Person,30
2013,5,Offence Against a Person,31
2013,6,Offence Against a Person,30
2013,7,Offence Against a Person,31
2013,8,Offence Against a Person,31
2013,9,Offence Against a Person,30
2013,10,Offence Against a Person,31
2013,11,Offence Against a Person,30
2013,12,Offence Against a Person,31
2012,1,Other Theft,384
2012,2,Other Theft,391
2012,3,Other Theft,394
2012,4,Other Theft,386
2012,5,Other Theft,392
2012,6,Other Theft,396
2012,7,Other Theft,392
2012,8,Other Theft,407
2012,9,Other Theft,380
2012,10,Other Theft,396
2012,11,Other Theft,399
2012,12,Other Theft,386
2013,1,Other Theft,399
2013,2,Other Theft,386
2013,3,Other Theft,388
2013,4,Other Theft,394
2013,5,Other Theft,396
2013,6,Other Theft,391
2013,7,Other Theft,401
2013,8,Other Theft,390
2013,9,Other Theft,400
2013,10,Other Theft,394
2013,11,Other Theft,392
2013,12,Other Theft,391
2012,1,Theft from Vehicle,1081
2012,2,Theft from Vehicle,1033
2012,3,Theft from Vehicle,979
2012,4,Theft from Vehicle,936
2012,5,Theft from Vehicle,958
2012,6,Theft from Vehicle,980
2012,7,Theft from Vehicle,980
2012,8,Theft from Vehicle,976
2012,9,Theft from Vehicle,981
2012,10,Theft from Vehicle,974
2012,11,Theft from Vehicle,955
2012,12,Theft from Vehicle,908
2013,1,Theft from Vehicle,958
2013,2,Theft from Vehicle,879
2013,3,Theft from Vehicle,905
2013,4,Theft from Vehicle,897
2013,5,Theft from Vehicle,906
2013,6,Theft from Vehicle,899
2013,7,Theft from Vehicle,902
2013,8,Theft from Vehicle,921
2013,9,Theft from Vehicle,927
2013,10,Theft from Vehicle,934
2013,11,Theft from Vehicle,923
2013,12,Theft from Vehicle,908
2012,1,Theft of Bicycle,95
2012,2,Theft of Bicycle,104
2012,3,Theft of Bicycle,118
2012,4,Theft of Bicycle,178
2012,5,Theft of Bicycle,286
2012,6,Theft of Bicycle,408
2012,7,Theft of Bicycle,490
2012,8,Theft of Bicycle,460
2012,9,Theft of Bicycle,358
2012,10,Theft of Bicycle,338
2012,11,Theft of Bicycle,216
2012,12,Theft of Bicycle,138
2013,1,Theft of Bicycle,119
2013,2,Theft of Bicycle,91
2013,3,Theft of Bicycle,113
2013,4,Theft of Bicycle,169
2013,5,Theft of Bicycle,265
2013,6,Theft of Bicycle,365
2013,7,Theft of Bicycle,501
2013,8,Theft of Bicycle,467
2013,9,Theft of Bicycle,389
2013,10,Theft of Bicycle,342
2013,11,Theft of Bicycle,269
2013,12,Theft of Bicycle,158
2012,1,Theft of Vehicle,142
2012,2,Theft of Vehicle,140
2012,3,Theft of Vehicle,138
2012,4,Theft of Vehicle,139
2012,5,Theft of Vehicle,148
2012,6,Theft of Vehicle,142
2012,7,Theft of Vehicle,144
2012,8,Theft of Vehicle,148
2012,9,Theft of Vehicle,147
2012,10,Theft of Vehicle,153
2012,11,Theft of Vehicle,151
2012,12,Theft of Vehicle,152
2013,1,Theft of Vehicle,142
2013,2,Theft of Vehicle,133
2013,3,Theft of Vehicle,126
2013,4,Theft of Vehicle,118
2013,5,Theft of Vehicle,121
2013,6,Theft of Vehicle,124
2013,7,Theft of Vehicle,124
2013,8,Theft of Vehicle,124
2013,9,Theft of Vehicle,126
2013,10,Theft of Vehicle,127
2013,11,Theft of Vehicle,129
2013,12,Theft of Vehicle,128
2012,1,Vehicle Collision or Pedestrian Struck (with Injury),125
2012,2,Vehicle Collision or Pedestrian Struck (with Injury),120
2012,3,Vehicle Collision or Pedestrian Struck (with Injury),121
2012,4,Vehicle Collision or Pedestrian Struck (with Injury),124
2012,5,Vehicle Collision or Pedestrian Struck (with Injury),131
2012,6,Vehicle Collision or Pedestrian Struck (with Injury),129
2012,7,Vehicle Collision or Pedestrian Struck (with Injury),142
2012,8,Vehicle Collision or Pedestrian Struck (with Injury),135
2012,9,Vehicle Collision or Pedestrian Struck (with Injury),155
2012,10,Vehicle Collision or Pedestrian Struck (with Injury),137
2012,11,Vehicle Collision or Pedestrian Struck (with Injury),152
2012,12,Vehicle Collision or Pedestrian Struck (with Injury),141
2013,1,Vehicle Collision or Pedestrian Struck (with Injury),127
2013,2,Vehicle Collision or Pedestrian Struck (with Injury),130
2013,3,Vehicle Collision or Pedestrian Struck (with Injury),126
2013,4,Vehicle Collision or Pedestrian Struck (with Injury),134
2013,5,Vehicle Collision or Pedestrian Struck (with Injury),136
2013,6,Vehicle Collision or Pedestrian Struck (with Injury),156
2013,7,Vehicle Collision or Pedestrian Struck (with Injury),141
2013,8,Vehicle Collision or Pedestrian Struck (with Injury),145
2013,9,Vehicle Collision or Pedestrian Struck (with Injury),148
2013,10,Vehicle Collision or Pedestrian Struck (with Injury),137
2013,11,Vehicle Collision or Pedestrian Struck (with Injury),144
2013,12,Vehicle Collision or Pedestrian Struck (with Injury),144
